participant_id	psi_id	ses	visitday	LRO_fMRILIKING	LRO_fMRIRESONANCE	LRO_fMRIOPENNESS	LRO_PREP1EEGLIKING	LRO_PREP1EEGRESONANCE	LRO_PREP1EEGOPENNESS	LRO_PREP2EEGLIKING	LRO_PREP2EEGRESONANCE	LRO_PREP2EEGOPENNESS	LRO_PREP3EEGLIKING	LRO_PREP3EEGRESONANCE	LRO_PREP3EEGOPENNESS	LRO_PREP4EEGLIKING	LRO_PREP4EEGRESONANCE	LRO_PREP4EEGOPENNESS	LRO_PREP5EEGLIKING	LRO_PREP5EEGRESONANCE	LRO_PREP5EEGOPENNESS	LRO_PREP6EEGLIKING	LRO_PREP6EEGRESONANCE	LRO_PREP6EEGOPENNESS	LRO_EEGLIKING	LRO_EEGRESONANCE	LRO_EEGOPENNESS
sub-PC016	PSI-2304	ses-02	13	NaN	NaN	NaN	70	85	77	54	50	66	44	42	43	83	82	53	74	80	81	78	78	81	NaN	NaN	NaN
sub-PC017	PSI-2153	ses-02	7	74	59	59	78	82	81	79	78	89	84	61	81	92	88	83	83	82	90	84	83	90	87	90	92
sub-PC018	PSI-2161	ses-02	8	100	100	100	100	100	100	91	91	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
sub-PC019	PSI-2398	ses-02	15	68	92	100	100	100	100	NaN	NaN	100	77	71	100	100	100	100	49	50	100	100	100	100	100	100	100
sub-PC020	PSI-2393	ses-02	13	100	100	100	87	NaN	100	88	NaN	89	54	NaN	81	100	99	97	77	NaN	94	100	97	99	100	99	100
sub-PC021	PSI-2529	ses-02	26	89	90	87	89	95	94	100	100	99	94	95	96	84	81	91	100	100	100	90	100	100	100	100	100
sub-PC022	PSI-2460	ses-02	15	100	100	100	100	100	100	26	54	100	100	100	100	86	100	100	100	100	100	100	100	100	100	100	100
sub-PC023	PSI-2557	ses-02	45	100	100	100	100	100	100	60	97	96	96	97	97	100	97	96	96	94	98	92	83	93	82	86	90
sub-PC025	PSI-2492	ses-02	14	100	100	100	75	100	100	50	70	90	100	100	100	65	100	100	100	100	100	70	70	100	85	90	90
sub-PC026	PSI-2453	ses-02	3	92	94	100	98	98	99	98	98	99	97	97	99	94	98	99	100	98	99	98	100	99	99	100	99
sub-PC027	PSI-2504	ses-02	8	80	72	98	100	95	100	92	97	100	95	91	96	99	100	100	100	90	100	98	100	100	50	100	100
sub-PC028	PSI-2631	ses-02	7	45	80	85	100	75	100	60	75	100	59	12	100	72	64	100	99	76	100	77	78	100	70	29	100
sub-PC029	PSI-2414	ses-02	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
sub-PC030	PSI-2652	ses-02	6	80	92	100	90	94	93	100	100	100	100	100	89	90	93	92	93	80	86	86	100	100	97	99	97
sub-PC031	PSI-0453	ses-02	8	80	84	100	81	100	100	53	100	100	78	100	100	84	100	100	74	100	100	53	100	100	47	100	100
sub-PC032	PSI-1552	ses-02	1	90	100	100	92	92	100	87	87	100	67	60	85	95	95	100	100	95	100	100	100	100	100	100	100
sub-PC201	PSI-1010	ses-02	21	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
sub-PC202	PSI-0304	ses-02	19	82	91	100	63	88	100	94	87	100	100	95	100	88	95	100	95	93	100	79	92	100	97	91	100
sub-PC203	PSI-0244	ses-02	17	91	51	83	22	29	20	50	61	80	75	79	81	72	75	86	24	49	51	70	70	81	49	81	80
sub-PC204	PSI-0198	ses-02	14	90	85	100	100	100	100	80	100	100	100	100	100	80	89	100	100	100	100	100	100	100	100	100	100
sub-PC205	PSI-0094	ses-02	22	79	45	94	87	100	100	37	51	99	93	76	63	98	82	100	96	65	66	68	65	71	97	91	96
sub-PC206	PSI-0034	ses-02	12	100	100	100	66	85	100	86	98	98	75	87	100	25	14	100	69	49	100	98	99	99	92	59	91
sub-PC207	PSI-0819	ses-02	11	100	100	48	100	100	100	86	87	67	100	86	98	100	100	100	100	78	100	92	74	58	100	79	38
sub-PC208	PSI-0264	ses-02	3	69	68	48	70	61	84	52	66	100	100	72	100	45	56	36	72	59	65	78	51	81	77	76	100
sub-PC209	PSI-0565	ses-02	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
sub-PC210	PSI-1309	ses-02	3	83	93	96	87	85	92	50	48	70	100	100	100	83	79	90	82	81	83	82	84	98	73	83	98
sub-PC211	PSI-1342	ses-02	9	90	95	90	90	91	83	69	71	76	50	76	80	90	85	88	77	78	81	81	85	87	99	99	73
sub-PC212	PSI-0990	ses-02	13	59	47	50	NaN	NaN	NaN	NaN	NaN	NaN	64	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sub-PC213	PSI-0347	ses-02	10	85	93	90	80	91	92	75	85	90	88	96	98	90	91	99	94	88	71	90	95	99	92	96	100
sub-PC214	PSI-1433	ses-02	7	100	100	100	30	80	80	75	100	80	37	50	70	50	50	50	50	100	100	81	50	100	90	80	100
sub-PC216	PSI-1317	ses-02	10	81	83	92	80	81	76	86	85	87	89	89	81	61	90	72	79	82	84	87	82	90	88	87	83
sub-PC217	PSI-1702	ses-02	29	6	41	57	46	43	90	65	71	96	73	43	100	56	71	97	12	14	88	44	70	89	77	78	98
sub-PC218	PSI-0099	ses-02	24	71	74	91	59	55	70	68	72	93	100	100	98	83	100	100	100	100	93	86	79	100	64	72	80
sub-PC219	PSI-2021	ses-02	11	54	19	53	62	59	57	46	39	47	47	40	35	49	33	50	50	43	46	45	33	41	54	56	62
sub-PC220	PSI-2040	ses-02	14	89	86	90	86	90	99	85	88	98	75	86	91	95	95	97	77	89	96	90	93	96	90	94	95
sub-PC221	PSI-0077	ses-02	44	99	98	99	78	93	100	84	100	100	92	96	98	83	100	100	100	100	100	100	100	100	81	89	99
sub-PC222	PSI-1655	ses-02	7	50	75	90	95	97	100	80	90	100	92	90	100	95	97	100	97	97	100	92	100	100	91	99	100
sub-PC223	PSI-2009	ses-02	7	90	100	85	100	90	80	70	65	85	100	81	96	89	85	85	90	90	85	78	75	76	87	88	77
sub-PC224	PSI-1958	ses-02	7	78	79	81	100	94	100	90	96	99	46	18	21	82	65	76	100	93	100	74	81	75	98	100	99
sub-PC225	PSI-1161	ses-02	10	76	82	85	54	40	79	85	37	77	86	86	96	85	82	98	95	91	95	75	77	94	78	91	92
sub-PC226	PSI-0180	ses-02	21	73	75	100	70	100	100	82	100	100	39	86	75	50	100	100	83	100	100	50	100	100	47	100	100
sub-PC227	PSI-1336	ses-02	7	76	68	69	81	74	80	69	62	74	72	62	68	79	75	70	75	59	66	76	76	74	77	67	70
sub-PC228	PSI-0170	ses-02	14	74	50	49	86	79	92	44	60	77	68	75	62	60	73	70	70	67	81	89	35	90	60	60	80
sub-PC229	PSI-1748	ses-02	2	100	100	100	100	100	100	0	0	0	50	50	50	0	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	100	100	100
sub-PC230	PSI-1637	ses-02	8	50	80	90	49	61	70	98	60	70	80	89	80	80	80	100	100	100	100	100	100	100	90	80	75
sub-PC231	PSI-1677	ses-02	14	63	70	92	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sub-PC233	PSI-1957	ses-02	8	100	99	100	100	95	100	74	90	98	68	66	68	97	100	100	100	97	100	98	95	98	100	100	100
