participant_id	psi_id	ses	visitday	LRO_fMRILIKING	LRO_fMRIRESONANCE	LRO_fMRIOPENNESS	LRO_PREP1EEGLIKING	LRO_PREP1EEGRESONANCE	LRO_PREP1EEGOPENNESS	LRO_PREP2EEGLIKING	LRO_PREP2EEGRESONANCE	LRO_PREP2EEGOPENNESS	LRO_PREP3EEGLIKING	LRO_PREP3EEGRESONANCE	LRO_PREP3EEGOPENNESS	LRO_PREP4EEGLIKING	LRO_PREP4EEGRESONANCE	LRO_PREP4EEGOPENNESS	LRO_PREP5EEGLIKING	LRO_PREP5EEGRESONANCE	LRO_PREP5EEGOPENNESS	LRO_PREP6EEGLIKING	LRO_PREP6EEGRESONANCE	LRO_PREP6EEGOPENNESS	LRO_EEGLIKING	LRO_EEGRESONANCE	LRO_EEGOPENNESS	imputation_threshold
sub-PC218	PSI-0099	ses-01	0	71	60	61	63	49	59	66	40	36	70	35	41	64	45	43	82	39	55	63	43	45	77	65	56	0.5
sub-PC219	PSI-2021	ses-01	0	49	41	24	72	66	67	50	55	53	52	52	31	46	48	43	53	47	42	55	44	53	58	62	57	0.5
sub-PC220	PSI-2040	ses-01	0	47	50	44	71	52	65	40	10	50	60	61	68	55	52	66	75	70	75	50	10	50	68	68	71	0.5
sub-PC221	PSI-0077	ses-01	0	72	69	79	63	70	61	75	68	65	83	72	74	62	55	62	59	60	68	58	52	55	73	75	76	0.5
sub-PC222	PSI-1655	ses-01	0	61	62	71	64	79	80	60	80	78	50	50	76	57	73	75	82	82	80	65	74	75	54	67	80	0.5
sub-PC223	PSI-2009	ses-01	0	75	60	75	65	55	60	30	30	60	80	70	81	60	50	70	65	40	65	60	60	70	65	75	70	0.5
sub-PC224	PSI-1958	ses-01	0	95	80	82	88	75	82	60	52	67	19	13	31	44	31	42	98	74	98	97	94	100	80	81	76	0.5
sub-PC225	PSI-1161	ses-01	0	79	78	85	60	51	55	64	58	58	61	55	66	68	62	65	67	58	63	53	50	48	71	70	68	0.5
sub-PC226	PSI-0180	ses-01	0	80	75	70	70	67	85	60	55	70	71	50	65	67	50	75	80	85	88	90	80	96	65	75	70	0.5
sub-PC227	PSI-1336	ses-01	0	59	65	66	84	74	69	66	66	64	77	68	68	85	69	68	73	66	65	72	68	66	77	72	73	0.5
sub-PC228	PSI-0170	ses-01	0	64	52	74	67	58	66	54	33	46	81	50	75	69	36	65	75	52	76	62	34	67	60	63	37	0.5
sub-PC229	PSI-1748	ses-01	0	92	91	97	97	97	98	51	50	51	80	80	83	75	61	68	80	80	75	81	89	88	88	90	97	0.5
sub-PC230	PSI-1637	ses-01	0	80	70	90	40	50	60	60	40	65	50	30	50	35	30	40	70	75	75	65	40	70	50	30	40	0.5
sub-PC231	PSI-1677	ses-01	0	50	41	70	54	40	51	33	21	49	64	63	58	30	29	52	56	49	65	47	20	41	30	44	53	0.5
sub-PC232	PSI-0334	ses-01	0	72	92	93	77	84	79	78	80	89	100	99	100	58	85	81	100	91	94	76	76	65	88	95	96	0.5
sub-PC233	PSI-1957	ses-01	0	87	89	100	100	100	100	70	52	85	51	29	76	60	34	79	86	83	99	61	75	98	97	89	100	0.5
